xe_id,chuyen_id,vong_id,time,addresss,lat,lon,note
Xe 12m3 15C34755,Chuyến 1,Vòng 1,5h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",20.8127963087,106.7522107396,
Xe 12m3 15C34755,Chuyến 1,Vòng 1,5h40,"Đình Hàng Kênh, Nguyễn Công Trứ, Hàng Kênh",20.8464395518,106.6840266665,2
Xe 12m3 15C34755,Chuyến 1,Vòng 1,5h55,192 Hàng Kênh,20.8478570090,106.6855022684,2
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h00,"Đối diện 189 Đình Đông, Hàng Kênh",20.8440669407,106.6870834972,4
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h05,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,5
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h10,"111 Cầu Đất, Ngô Quyền (Rạp Công nhân)",20.8541779683,106.6838083864,4
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h15,"98  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8534963295,106.6809091484,2
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h18,"138  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530865330,106.6792751066,1
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h25,"324  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8519987807,106.6735301006,1
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h28,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,3
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h30,"125 Nguyễn Đức Cảnh, Cát Dài",20.8540761537,106.6719239192,3
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h00,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,6
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h10,"47 Nguyễn Công Trứ, Hàng Kênh",20.8466592833,106.6839660541,3
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h15,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h20,"60  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8536890231,106.6822668937,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h25,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h30,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,16
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h40,"40/35 Nguyễn Đức Cảnh, Cát Dài",20.8552151026,106.6780565702,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h50,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,5
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h00,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,5
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h05,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h20,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h30,"8 or 22 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8540092788,106.6831354107,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h35,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h40,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,8
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h45,"20 Nguyễn Đức Cảnh, Cát Dài",20.8558365984,106.6807100414,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h50,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",20.8127963087,106.7522107396,
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h20,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497749013,106.6807173837,6
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h25,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,5
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h35,192 Hàng Kênh,20.8478369562,106.6855344549,2
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h40,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,3
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h50,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,5
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h55,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,5
Xe 12m3 15C34755,Chuyến 2,Vòng 1,12h05,"53 Lạch Tray, Đằng Giang, Ngô Quyền",20.8488847354,106.6922283956,6
Xe 12m3 15C34755,Chuyến 2,Vòng 1,12h30,"Nguyễn Đức Cảnh, Cát Dài",20.8547000526,106.6745718496,4
Xe 12m3 15C34755,Chuyến 2,Vòng 1,13h30-14h00,Đình Vũ-XNVT,,,
Xe 9m3 15C28542,Chuyến 1,Vòng 1,12h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h00,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h15,192 Hàng Kênh,20.8478369562,106.6855344549,2
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h25,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h35,"12 Chợ Con, Trại Cau",20.8502716220,106.6841214242,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h45,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h55,"196 Tô Hiệu, Trại Cau",20.8513064306,106.6795095242,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h05,"53 Lạch Tray, Đằng Giang, Ngô Quyền, Hải Phòng, Việt Nam",20.8488847354,106.6922283956,5
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h15,"Đối diện 30 Trần Nguyên Hãn, Cát Dài",20.8521851485,106.6707130437,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h25,"57 Nguyễn Đức Cảnh, Cát Dài",20.8551983236,106.6769582521,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h35,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h45,"60  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8538851571,106.6822710549,2
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h50,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h55,"186  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8528810980,106.6773809107,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h05,Ngã 3 Hồ Sen,20.8458989592,106.6818008961,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h15,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,4
