,200
Phố Hàng Kênh,371
Phố Chợ Con,374
Phố Chợ Con,375
Phố Chợ Con,376
Phố Chợ Con,377
Phố Tràng Cát,691
Phố Hàng Kênh,1005
Phố Chợ Con,1023
Phố Chợ Con,1024
Phố Chợ Con,1025
Phố Chợ Con,1026
Phố Tràng Cát,1345
Phố Hai Bà Trưng (Cát Dài),1829
Phố Nguyễn Đức Cảnh,1855
Phố Hai Bà Trưng (Cát Dài),1870
Phố Nguyễn Đức Cảnh,1890
Phố Tràng Cát,2139
Phố Tràng Cát,2140
Phố Tràng Cát,2141
Phố Tràng Cát,2142
Phố Tràng Cát,2143
Phố Tràng Cát,2144
Phố Tràng Cát,2145
Phố Tràng Cát,2146
Phố Tràng Cát,2147
Phố Tràng Cát,2148
Phố Tràng Cát,2149
Phố Tràng Cát,2150
Phố Tràng Cát,2151
Phố Tràng Cát,2152
Phố Tràng Cát,2153
Phố Tràng Cát,2154
Phố Tràng Cát,2155
Phố Tràng Cát,2156
Phố Tràng Cát,2157
Phố Tràng Cát,2158
Phố Tràng Cát,2159
Phố Tràng Cát,2160
Phố Tràng Cát,2161
Phố Tràng Cát,2162
Phố Tràng Cát,2163
Phố Tràng Cát,2164
Phố Tràng Cát,2165
Phố Tràng Cát,2166
Phố Tràng Cát,2167
Phố Tràng Cát,2168
Phố Tràng Cát,2169
Phố Tràng Cát,2170
Phố Tràng Cát,2171
Phố Tràng Cát,2172
Phố Tràng Cát,2173
Phố Tràng Cát,2174
Phố Tràng Cát,2175
Phố Tràng Cát,2176
Phố Tràng Cát,2177
Phố Tràng Cát,2178
Phố Tràng Cát,2179
Phố Tràng Cát,2180
Phố Tràng Cát,2181
Phố Tràng Cát,2182
Phố Tràng Cát,2183
Phố Tràng Cát,2184
Phố Tràng Cát,2185
Phố Tràng Cát,2186
Phố Tràng Cát,2187
Phố Tràng Cát,2188
Phố Tràng Cát,2189
Phố Tràng Cát,2190
Phố Tràng Cát,2191
Phố Tràng Cát,2192
Phố Tràng Cát,2193
Phố Tràng Cát,2194

